"title","genre","rating"
"2001: Kosmoseodüsseia","Adventure, Sci-Fi",8.3
"Grimm","Crime, Drama, Fantasy",7.8
"Elementary","Crime, Drama, Mystery",7.9
"Lost in Space","Adventure, Drama, Family",7.3
"Kuutõusu kuningriik","Comedy, Drama, Romance",7.8
"Kiired ja vihased 7","Action, Adventure, Thriller",7.1
"Ratched","Crime, Drama, Mystery",7.3
"Big Mouth","Animation, Comedy, Romance",8
"Mees, kes jäi ellu","Action, Adventure, Drama",8
"Rannavalve","Action, Comedy, Crime",5.5
"Penny Dreadful","Drama, Fantasy, Horror",8.2
"Chilling Adventures of Sabrina","Drama, Fantasy, Horror",7.5
"Cursed","Adventure, Drama, Fantasy",5.9
"Kaunitar ja koletis","Family, Fantasy, Musical",7.1
"Dota: Dragon's Blood","Animation, Action, Adventure",8.1
"Nüüd sa näed mind","Crime, Mystery, Thriller",7.3
"Yes Day","Comedy, Family",5.7
"Shadowhunters: The Mortal Instruments","Action, Drama, Fantasy",6.6
"Nanatsu no taizai","Animation, Action, Adventure",8.1
"Marcella","Crime, Drama, Mystery",7.4
"Luis Miguel: La Serie","Biography, Drama, History",8.1
"Below Deck","Reality-TV",7.3
"Derry Girls","Comedy",8.4
"Black Clover","Animation, Action, Adventure",8.1
"The Good Wife","Crime, Drama, Mystery",8.3
"Lõuad","Adventure, Thriller",8
"Kong: Pealuu saar","Action, Adventure, Fantasy",6.6
"The End of the F***ing World","Adventure, Comedy, Crime",8.1
"Atypical","Comedy, Drama",8.3
"300: Impeeriumi sünd","Action, Drama",6.2
"Misfits","Comedy, Drama, Fantasy",8.2
"The Old Guard","Action, Adventure, Fantasy",6.7
"Grease","Musical, Romance",7.2
"Yakusoku no Neverland","Animation, Adventure, Drama",8.6
"The Midnight Sky","Drama, Fantasy, Sci-Fi",5.6
"The IT Crowd","Comedy",8.5
"Kuumad 70ndad","Comedy, Romance",8.1
"Sinu nimi on...","Animation, Drama, Fantasy",8.4
"Häving","Adventure, Drama, Horror",6.8
"The Legend of Korra","Animation, Action, Adventure",8.4
"The OA","Drama, Fantasy, Mystery",7.9
"Outside the Wire","Action, Adventure, Fantasy",5.4
"The Ranch","Comedy, Drama, Western",7.5
"The Fresh Prince of Bel-Air","Comedy",7.9
"Wind River","Crime, Drama, Mystery",7.7
"Kuuvalgus","Drama",7.4
"Polar","Action, Crime, Drama",6.3
"Kariibi mere piraadid: Salazari kättemaks","Action, Adventure, Fantasy",6.5
"Adventure Time","Animation, Short, Action",8.6
"Kiired ja vihased 8","Action, Adventure, Crime",6.6
"Orphan Black","Action, Drama, Sci-Fi",8.3
"Oceani 8","Action, Comedy, Crime",6.9
"Unbelievable","Crime, Drama",8.4
"Bird Box","Horror, Sci-Fi",6.6
"El hoyo","Horror, Sci-Fi, Thriller",7
"The Haunting of Bly Manor","Drama, Horror, Mystery",7.4
"Extraction","Action, Thriller",6.7
"Medici","Biography, Drama, History",7.9
"Ragnarok","Drama, Fantasy, Mystery",7.5
"Kopp-kopp","Drama, Thriller",4.9
"Into the Badlands","Action, Adventure, Drama",8
"Ilmvõimatu","Drama, History, Thriller",7.6
"Dirty John","Crime, Drama",7.2
"Rebecca","Drama, Mystery, Romance",6
"Willy Wonka & the Chocolate Factory","Family, Fantasy, Musical",7.8
"Wentworth","Crime, Drama",8.6
"Lumekuninganna ja igavene talv","Animation, Adventure, Comedy",7.4
"Marriage Story","Comedy, Drama, Romance",7.9
"Booksmart","Comedy",7.2
"National Lampoon's Animal House","Comedy",7.5
"Nakkus","Drama, Thriller",6.7
"Top Boy","Crime, Drama, Thriller",8.4
"I'm Thinking of Ending Things","Drama, Thriller",6.6
"6 Underground","Action, Thriller",6.1
"Clueless","Comedy, Romance",6.8
"Californication","Comedy, Drama",8.3
"Doktor Martin","Comedy, Drama, Romance",8.3
"Charlie's Angels","Action, Adventure, Comedy",4.8
"Kingdom","Drama",8.5
